,y_11,y_12,y_13,y,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,ADM2_EN,lat,long
98,Medium,Medium,High,Medium,Medium,Medium,Medium,No,5,Online business,10,0,1,Embakasi,-1.3203,36.8906
99,Medium,Medium,Medium,Medium,Medium,High,Medium,No,0,Physical business,4,0,1,Embakasi,-1.3203,36.8906
100,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,4,0,1,Embakasi,-1.3203,36.8906
105,High,High,High,High,High,High,High,No,4,Online business,7,0,1,Embakasi,-1.3203,36.8906
106,High,High,High,High,High,High,High,No,0,Online business,2,0,1,Embakasi,-1.3203,36.8906
111,High,High,High,High,High,High,High,No,2,Physical business,2,0,1,Embakasi,-1.3203,36.8906
112,High,High,High,High,High,High,High,No,3,Online business,3,0,1,Embakasi,-1.3203,36.8906
117,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,3,Online business,4,0,1,Embakasi,-1.3203,36.8906
118,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,4,0,1,Embakasi,-1.3203,36.8906
120,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,1,Online business,3,0,1,Embakasi,-1.3203,36.8906
130,Medium,Medium,Medium,Medium,Medium,High,Medium,No,2,Physical business,3,0,1,Embakasi,-1.3203,36.8906
131,High,High,High,High,High,High,High,No,5,Physical business,5,0,1,Embakasi,-1.3203,36.8906
132,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,3,0,1,Embakasi,-1.3203,36.8906
135,High,High,High,High,High,High,High,No,5,Physical business,6,0,1,Embakasi,-1.3203,36.8906
138,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,3,Physical business,3,0,1,Embakasi,-1.3203,36.8906
175,High,High,Medium,High,Medium,High,High,No,2,Online business,2,0,1,Embakasi,-1.3203,36.8906
177,High,High,High,High,High,High,High,No,1,Online business,1,0,0,Embakasi,-1.3203,36.8906
178,High,Medium,High,High,High,High,High,No,3,Physical business,3,0,0,Embakasi,-1.3203,36.8906
182,High,High,Medium,High,High,High,High,No,2,Physical business,2,0,0,Embakasi,-1.3203,36.8906
183,High,High,High,High,High,High,High,No,2,Physical business,2,0,1,Embakasi,-1.3203,36.8906
184,High,High,Medium,High,High,High,High,No,2,Physical business,2,0,1,Embakasi,-1.3203,36.8906
185,High,High,High,High,High,High,High,No,1,Physical business,1,1,1,Embakasi,-1.3203,36.8906
186,High,Low,Medium,Medium,High,High,High,No,4,Physical business,4,0,0,Embakasi,-1.3203,36.8906
187,High,High,Medium,High,Medium,High,High,No,3,Physical business,5,0,1,Embakasi,-1.3203,36.8906
188,High,Medium,High,High,High,High,High,No,1,Physical business,1,0,1,Embakasi,-1.3203,36.8906
189,High,High,High,High,High,Medium,Medium,No,0,Physical business,1,0,1,Embakasi,-1.3203,36.8906
190,High,High,High,High,High,High,High,Yes,6,Physical business,6,0,1,Embakasi,-1.3203,36.8906
191,High,Medium,High,High,High,Medium,High,No,4,Physical business,4,0,1,Embakasi,-1.3203,36.8906
192,High,High,Medium,High,High,High,High,No,4,Physical business,4,0,0,Embakasi,-1.3203,36.8906
193,High,High,High,High,High,Medium,High,No,1,Physical business,1,1,1,Embakasi,-1.3203,36.8906
194,High,High,Medium,High,High,High,High,No,3,Online business,3,0,1,Embakasi,-1.3203,36.8906
196,High,High,High,High,High,High,High,No,2,Online business,3,0,1,Embakasi,-1.3203,36.8906
197,High,High,High,High,High,High,High,No,2,Physical business,3,0,1,Embakasi,-1.3203,36.8906
198,High,High,High,High,High,High,High,No,1,Physical business,1,0,1,Embakasi,-1.3203,36.8906
199,High,High,High,High,High,High,High,No,1,Physical business,1,0,1,Embakasi,-1.3203,36.8906
200,Medium,Low,Medium,Medium,Medium,Low,Medium,No,2,Online business,3,0,1,Embakasi,-1.3203,36.8906
201,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,3,Physical business,5,0,1,Embakasi,-1.3203,36.8906
202,Medium,High,Medium,Medium,High,Medium,Medium,No,0,Online business,3,0,1,Embakasi,-1.3203,36.8906
203,High,High,High,High,High,High,Medium,No,1,Physical business,1,0,0,Embakasi,-1.3203,36.8906
204,High,High,High,High,High,High,High,Yes,3,Physical business,0,0,0,Embakasi,-1.3203,36.8906
205,High,Medium,Medium,Medium,Medium,High,High,No,2,Physical business,2,0,1,Embakasi,-1.3203,36.8906
206,High,Medium,Medium,Medium,Medium,Medium,High,No,3,Physical business,3,0,0,Embakasi,-1.3203,36.8906
207,High,High,High,High,High,High,High,Yes,3,Online business,4,0,1,Embakasi,-1.3203,36.8906
208,High,High,High,High,High,High,High,No,1,Physical business,1,0,1,Embakasi,-1.3203,36.8906
209,Medium,High,High,High,Medium,High,High,Yes,2,Online business,4,0,1,Embakasi,-1.3203,36.8906
210,High,Medium,High,High,High,High,Medium,Yes,2,Online business,2,0,1,Embakasi,-1.3203,36.8906
211,High,Medium,High,High,High,High,High,No,2,Physical business,2,0,1,Embakasi,-1.3203,36.8906
212,High,High,High,High,High,High,High,No,3,Physical business,3,1,1,Embakasi,-1.3203,36.8906
213,High,High,Medium,High,High,High,High,Yes,5,Physical business,5,0,1,Embakasi,-1.3203,36.8906
214,High,High,High,High,High,High,High,Yes,2,Physical business,2,0,0,Embakasi,-1.3203,36.8906
215,High,High,High,High,High,High,High,Yes,6,Online business,6,0,1,Embakasi,-1.3203,36.8906
216,High,High,High,High,High,High,High,Yes,5,Physical business,5,0,1,Embakasi,-1.3203,36.8906
217,High,Medium,High,High,High,High,High,No,1,Physical business,0,0,0,Embakasi,-1.3203,36.8906
218,High,Low,Medium,Medium,Medium,High,Medium,No,1,Physical business,1,0,0,Embakasi,-1.3203,36.8906
219,High,High,High,High,High,High,High,No,1,Physical business,1,0,1,Embakasi,-1.3203,36.8906
220,High,Medium,High,High,Medium,High,High,No,2,Online business,2,0,1,Embakasi,-1.3203,36.8906
221,High,High,High,High,High,High,High,No,0,Physical business,3,0,1,Embakasi,-1.3203,36.8906
222,High,High,High,High,High,Medium,High,No,1,Physical business,1,0,1,Embakasi,-1.3203,36.8906
223,High,High,High,High,High,High,High,No,3,Online business,3,0,1,Embakasi,-1.3203,36.8906
224,High,Medium,High,High,High,High,High,No,2,Physical business,4,0,0,Embakasi,-1.3203,36.8906
225,Medium,Medium,High,Medium,Medium,High,High,No,10,Physical business,10,1,1,Embakasi,-1.3203,36.8906
226,High,High,High,High,High,High,High,Yes,1,Online business,2,1,1,Embakasi,-1.3203,36.8906
227,Medium,Medium,High,Medium,High,Very High,High,Yes,1,Physical business,1,0,1,Embakasi,-1.3203,36.8906
228,High,High,High,High,High,High,High,No,1,Physical business,1,0,1,Embakasi,-1.3203,36.8906
229,High,Medium,High,High,High,High,High,No,3,Physical business,3,0,1,Embakasi,-1.3203,36.8906
230,High,High,High,High,High,High,High,No,10,Online business,10,0,1,Embakasi,-1.3203,36.8906
231,High,High,High,High,High,High,High,No,3,Physical business,3,0,1,Embakasi,-1.3203,36.8906
232,High,High,High,High,High,Very High,Medium,Yes,3,Physical business,4,0,1,Embakasi,-1.3203,36.8906
234,High,High,High,High,High,High,High,No,2,Physical business,3,0,1,Embakasi,-1.3203,36.8906
235,High,High,Medium,High,High,High,High,No,2,Physical business,2,1,1,Embakasi,-1.3203,36.8906
236,High,High,High,High,High,High,High,No,2,Physical business,2,0,0,Embakasi,-1.3203,36.8906
237,High,High,High,High,High,High,High,No,2,Physical business,2,0,0,Embakasi,-1.3203,36.8906
238,High,Medium,High,High,High,High,Medium,No,3,Physical business,3,0,1,Embakasi,-1.3203,36.8906
239,High,High,High,High,High,High,High,No,1,Online business,1,1,1,Embakasi,-1.3203,36.8906
240,High,High,High,High,High,Medium,High,No,2,Physical business,2,0,0,Embakasi,-1.3203,36.8906
241,High,High,High,High,High,Medium,Medium,No,1,Physical business,1,0,0,Embakasi,-1.3203,36.8906
242,High,Medium,High,High,High,Medium,High,No,4,Physical business,4,0,1,Embakasi,-1.3203,36.8906
244,High,High,Medium,High,Medium,High,High,No,2,Online business,2,0,1,Embakasi,-1.3203,36.8906
245,High,High,High,High,Medium,High,High,No,2,Physical business,2,0,1,Embakasi,-1.3203,36.8906
246,High,High,High,High,High,High,High,Yes,3,Physical business,3,0,1,Embakasi,-1.3203,36.8906
247,High,High,Medium,High,Medium,High,High,No,2,Physical business,2,0,0,Embakasi,-1.3203,36.8906
276,Medium,Medium,Medium,Medium,Medium,High,Medium,No,0,Physical business,2,0,1,Embakasi,-1.3203,36.8906
283,High,High,Medium,High,High,Medium,Medium,No,5,Physical business,5,0,0,Embakasi,-1.3203,36.8906
284,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,3,Online business,13,0,1,Embakasi,-1.3203,36.8906
285,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,20,Online business,32,0,1,Embakasi,-1.3203,36.8906
288,Low,Low,Medium,Low,Medium,Very High,Medium,No,10,Physical business,10,0,1,Embakasi,-1.3203,36.8906
302,Medium,High,High,High,High,High,High,Yes,3,Online business,3,1,1,Embakasi,-1.3203,36.8906
311,High,Very High,High,High,High,High,High,Yes,6,Physical business,6,1,0,Embakasi,-1.3203,36.8906
328,High,High,High,High,High,High,High,Yes,4,Physical business,4,0,1,Embakasi,-1.3203,36.8906
338,High,High,Medium,High,High,High,High,Yes,6,Online business,6,0,1,Embakasi,-1.3203,36.8906
382,High,High,Medium,High,High,High,High,No,30,Online business,30,1,1,Embakasi,-1.3203,36.8906
390,Medium,Medium,Medium,Medium,Medium,High,Medium,Yes,0,Online business,6,0,0,Embakasi,-1.3203,36.8906
409,Low,Low,Medium,Low,High,High,High,No,0,Physical business,7,0,1,Embakasi,-1.3203,36.8906
481,High,High,High,High,High,Medium,Medium,Yes,3,Physical business,3,0,0,Embakasi,-1.3203,36.8906
508,High,High,High,High,High,High,High,No,2,Physical business,2,0,0,Embakasi,-1.3203,36.8906
509,Medium,High,Medium,Medium,High,High,High,No,1,Online business,1,0,0,Embakasi,-1.3203,36.8906
512,High,High,Medium,High,High,Medium,High,No,2,Physical business,2,0,0,Embakasi,-1.3203,36.8906
513,High,High,Medium,High,Medium,High,High,No,0,Physical business,3,0,0,Embakasi,-1.3203,36.8906
514,High,High,Medium,High,High,Medium,Medium,No,0,Physical business,1,0,1,Embakasi,-1.3203,36.8906
518,Medium,High,Medium,Medium,Medium,High,High,Yes,2,Physical business,2,0,1,Embakasi,-1.3203,36.8906
520,Medium,Medium,High,Medium,High,High,High,No,1,Online business,1,0,1,Embakasi,-1.3203,36.8906
529,High,High,High,High,High,High,High,No,0,Online business,3,0,0,Embakasi,-1.3203,36.8906
533,High,High,Medium,High,High,High,Medium,Yes,3,Physical business,3,0,1,Embakasi,-1.3203,36.8906
537,Medium,High,High,High,High,High,High,No,5,Physical business,5,0,1,Embakasi,-1.3203,36.8906
539,High,Medium,Medium,Medium,Medium,Low,Medium,No,1,Online business,1,0,1,Embakasi,-1.3203,36.8906
540,High,Medium,Medium,Medium,High,Medium,Medium,No,3,Physical business,3,0,1,Embakasi,-1.3203,36.8906
547,High,Medium,High,High,High,Medium,Medium,No,1,Physical business,1,0,1,Embakasi,-1.3203,36.8906
554,Medium,High,High,High,High,High,High,No,2,Online business,2,0,1,Embakasi,-1.3203,36.8906
555,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,No,7,Physical business,13,0,1,Embakasi,-1.3203,36.8906
557,High,High,High,High,High,High,High,No,2,Online business,15,0,1,Embakasi,-1.3203,36.8906
559,High,High,High,High,High,Very High,High,Yes,4,Physical business,6,0,0,Embakasi,-1.3203,36.8906
576,Medium,Medium,High,Medium,High,Medium,Medium,No,1,Physical business,0,1,1,Embakasi,-1.3203,36.8906
577,Medium,Medium,High,Medium,High,High,Medium,No,5,Physical business,7,1,1,Embakasi,-1.3203,36.8906
578,Medium,Medium,High,Medium,High,High,High,Yes,0,Physical business,2,0,1,Embakasi,-1.3203,36.8906
579,High,Medium,Medium,Medium,High,High,Medium,No,6,Online business,7,1,0,Embakasi,-1.3203,36.8906
580,High,High,Very High,High,High,High,Medium,No,3,Physical business,3,0,1,Embakasi,-1.3203,36.8906
599,Low,Low,High,Medium,Medium,Medium,Medium,No,4,Physical business,4,0,1,Embakasi,-1.3203,36.8906
617,Medium,High,High,High,Medium,High,Medium,Yes,25,Online business,25,0,1,Embakasi,-1.3203,36.8906
656,High,High,Medium,High,Medium,High,Medium,No,2,Physical business,2,0,1,Embakasi,-1.3203,36.8906
657,High,Medium,High,High,High,Medium,High,No,0,Physical business,8,1,0,Embakasi,-1.3203,36.8906
658,High,High,Medium,High,Medium,High,Medium,No,2,Physical business,2,1,1,Embakasi,-1.3203,36.8906
661,High,High,Medium,High,High,High,High,No,3,Online business,3,0,1,Embakasi,-1.3203,36.8906
663,Very High,Very High,Very High,Very High,High,Very High,High,Yes,10,Physical business,10,0,1,Embakasi,-1.3203,36.8906
664,High,High,High,High,High,High,High,No,10,Online business,10,0,1,Embakasi,-1.3203,36.8906
665,High,High,High,High,High,High,Medium,Yes,10,Physical business,11,1,0,Embakasi,-1.3203,36.8906
666,Very High,High,High,High,High,High,High,Yes,4,Physical business,4,0,1,Embakasi,-1.3203,36.8906
668,High,High,Medium,High,Medium,High,High,Yes,0,Physical business,5,0,0,Embakasi,-1.3203,36.8906
672,High,High,High,High,High,High,High,Yes,15,Online business,17,0,1,Embakasi,-1.3203,36.8906
673,High,High,High,High,High,High,High,No,12,Online business,13,1,1,Embakasi,-1.3203,36.8906
677,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,4,0,1,Embakasi,-1.3203,36.8906
678,Medium,High,High,High,High,High,High,Yes,4,Physical business,5,1,1,Embakasi,-1.3203,36.8906
683,High,High,Very High,High,Very High,High,Very High,No,0,Online business,3,0,1,Embakasi,-1.3203,36.8906
695,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Yes,4,Physical business,4,0,0,Embakasi,-1.3203,36.8906
742,High,Medium,High,High,Medium,High,High,No,0,Physical business,3,0,0,Embakasi,-1.3203,36.8906
746,High,High,High,High,High,High,High,No,1,Physical business,1,0,1,Embakasi,-1.3203,36.8906
748,High,High,High,High,High,High,High,Yes,3,Physical business,3,0,1,Embakasi,-1.3203,36.8906
752,High,Medium,Medium,Medium,Medium,High,High,No,4,Physical business,4,1,1,Embakasi,-1.3203,36.8906
763,High,High,High,High,High,High,High,No,1,Physical business,3,0,1,Embakasi,-1.3203,36.8906
251,High,High,Medium,High,Medium,High,High,No,0,Online business,2,1,1,Kamukunji,-1.2852,36.8456
255,High,High,High,High,High,High,Very High,No,0,Physical business,3,0,1,Kamukunji,-1.2852,36.8456
300,High,High,High,High,High,High,High,No,0,Physical business,2,0,1,Kamukunji,-1.2852,36.8456
304,Medium,Medium,Medium,Medium,Medium,Low,Medium,No,3,Physical business,3,0,1,Kamukunji,-1.2852,36.8456
307,Medium,Medium,High,Medium,High,High,Medium,No,0,Online business,0,0,0,Kamukunji,-1.2852,36.8456
312,High,High,High,High,High,High,High,No,0,Online business,0,0,1,Kamukunji,-1.2852,36.8456
379,High,High,Medium,High,Medium,Medium,High,No,3,Physical business,3,0,1,Kamukunji,-1.2852,36.8456
383,Medium,Medium,High,Medium,High,High,Medium,No,8,Physical business,8,0,0,Kamukunji,-1.2852,36.8456
384,Low,Low,Low,Low,Low,Medium,Low,Yes,1,Physical business,1,0,0,Kamukunji,-1.2852,36.8456
385,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,3,Physical business,3,0,0,Kamukunji,-1.2852,36.8456
386,Medium,High,Medium,Medium,Medium,Medium,High,No,4,Physical business,4,0,1,Kamukunji,-1.2852,36.8456
389,Medium,Medium,Medium,Medium,Medium,High,Medium,No,7,Physical business,7,0,1,Kamukunji,-1.2852,36.8456
391,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,6,0,0,Kamukunji,-1.2852,36.8456
392,Medium,High,Medium,Medium,Medium,Medium,Medium,Yes,1,Online business,1,0,0,Kamukunji,-1.2852,36.8456
395,Medium,Medium,Medium,Medium,High,High,Medium,No,0,Physical business,3,0,0,Kamukunji,-1.2852,36.8456
397,Medium,Medium,Medium,Medium,Medium,High,Medium,No,10,Physical business,10,0,1,Kamukunji,-1.2852,36.8456
398,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Online business,1,0,1,Kamukunji,-1.2852,36.8456
399,High,Medium,High,High,High,High,Medium,No,9,Physical business,9,0,0,Kamukunji,-1.2852,36.8456
400,High,High,High,High,High,High,High,Yes,2,Online business,3,1,1,Kamukunji,-1.2852,36.8456
401,Low,Medium,Medium,Medium,Low,Medium,Medium,No,0,Online business,3,1,0,Kamukunji,-1.2852,36.8456
402,Medium,Medium,Medium,Medium,Low,High,Medium,Yes,0,Physical business,2,0,1,Kamukunji,-1.2852,36.8456
403,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Yes,3,Physical business,12,0,1,Kamukunji,-1.2852,36.8456
404,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,11,Physical business,11,0,1,Kamukunji,-1.2852,36.8456
405,Medium,Medium,Medium,Medium,Medium,High,Medium,No,3,Physical business,3,0,0,Kamukunji,-1.2852,36.8456
406,Medium,Medium,Medium,Medium,Medium,Low,Medium,No,5,Physical business,5,0,1,Kamukunji,-1.2852,36.8456
407,High,High,High,High,High,High,High,Yes,2,Online business,2,0,1,Kamukunji,-1.2852,36.8456
408,High,High,High,High,High,Medium,Medium,Yes,5,Physical business,5,0,1,Kamukunji,-1.2852,36.8456
410,High,High,High,High,High,High,High,Yes,4,Online business,7,0,1,Kamukunji,-1.2852,36.8456
411,High,Very High,High,High,High,Medium,High,No,2,Online business,3,1,0,Kamukunji,-1.2852,36.8456
412,High,Medium,High,High,High,High,High,No,6,Online business,11,1,0,Kamukunji,-1.2852,36.8456
413,High,High,High,High,High,High,High,Yes,5,Online business,7,0,1,Kamukunji,-1.2852,36.8456
414,High,High,High,High,High,High,High,No,7,Online business,7,0,1,Kamukunji,-1.2852,36.8456
415,High,High,High,High,High,High,High,No,0,Physical business,1,0,1,Kamukunji,-1.2852,36.8456
416,High,High,High,High,High,High,High,No,2,Physical business,2,0,1,Kamukunji,-1.2852,36.8456
418,Medium,Medium,Medium,Medium,Medium,Low,Medium,No,0,Physical business,7,0,1,Kamukunji,-1.2852,36.8456
419,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,1,Physical business,1,0,0,Kamukunji,-1.2852,36.8456
420,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,10,Physical business,10,0,1,Kamukunji,-1.2852,36.8456
421,High,High,High,High,High,High,High,No,5,Online business,8,0,1,Kamukunji,-1.2852,36.8456
422,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,12,0,1,Kamukunji,-1.2852,36.8456
423,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,4,Physical business,4,0,1,Kamukunji,-1.2852,36.8456
424,Medium,Medium,Low,Medium,Medium,Medium,Medium,No,10,Physical business,10,0,1,Kamukunji,-1.2852,36.8456
425,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,1,Physical business,1,0,1,Kamukunji,-1.2852,36.8456
426,High,High,Medium,High,High,High,Medium,No,0,Physical business,0,0,1,Kamukunji,-1.2852,36.8456
427,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,4,Physical business,4,0,0,Kamukunji,-1.2852,36.8456
428,High,High,Medium,High,Medium,High,High,No,0,Physical business,0,0,1,Kamukunji,-1.2852,36.8456
429,High,High,High,High,High,High,High,No,0,Physical business,2,0,1,Kamukunji,-1.2852,36.8456
430,High,High,High,High,High,High,High,No,2,Physical business,2,0,1,Kamukunji,-1.2852,36.8456
431,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,4,Physical business,4,0,1,Kamukunji,-1.2852,36.8456
432,High,High,High,High,High,High,High,Yes,1,Physical business,1,0,1,Kamukunji,-1.2852,36.8456
433,Medium,Low,Low,Low,Medium,Medium,Medium,No,5,Physical business,5,0,1,Kamukunji,-1.2852,36.8456
434,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,10,Online business,10,0,1,Kamukunji,-1.2852,36.8456
435,High,High,High,High,High,High,High,No,11,Physical business,11,0,1,Kamukunji,-1.2852,36.8456
436,High,High,High,High,High,High,High,No,8,Physical business,8,0,1,Kamukunji,-1.2852,36.8456
437,Low,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,4,0,0,Kamukunji,-1.2852,36.8456
438,Medium,Medium,Low,Medium,Medium,Medium,Medium,No,0,Physical business,9,0,1,Kamukunji,-1.2852,36.8456
439,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Yes,5,Online business,5,0,1,Kamukunji,-1.2852,36.8456
440,High,High,High,High,High,High,High,No,10,Online business,10,0,1,Kamukunji,-1.2852,36.8456
441,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,1,0,0,Kamukunji,-1.2852,36.8456
442,High,High,High,High,High,High,High,No,9,Physical business,7,0,1,Kamukunji,-1.2852,36.8456
443,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,10,Physical business,10,0,1,Kamukunji,-1.2852,36.8456
444,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,6,Physical business,6,1,1,Kamukunji,-1.2852,36.8456
445,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,3,Physical business,2,0,1,Kamukunji,-1.2852,36.8456
446,High,High,High,High,High,High,High,No,7,Physical business,7,0,1,Kamukunji,-1.2852,36.8456
447,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,2,0,1,Kamukunji,-1.2852,36.8456
448,High,High,High,High,High,High,High,No,27,Physical business,27,0,1,Kamukunji,-1.2852,36.8456
449,Medium,Medium,High,Medium,Medium,Medium,Medium,No,0,Online business,14,0,1,Kamukunji,-1.2852,36.8456
450,High,High,High,High,High,High,High,No,7,Online business,8,0,1,Kamukunji,-1.2852,36.8456
451,Medium,High,Medium,Medium,Medium,Medium,Medium,No,5,Physical business,5,0,1,Kamukunji,-1.2852,36.8456
452,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,11,Physical business,11,0,1,Kamukunji,-1.2852,36.8456
453,Medium,Medium,High,Medium,Medium,Medium,Medium,Yes,9,Online business,24,0,1,Kamukunji,-1.2852,36.8456
454,High,High,High,High,High,High,High,No,6,Physical business,6,0,1,Kamukunji,-1.2852,36.8456
455,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,100,Physical business,100,0,1,Kamukunji,-1.2852,36.8456
456,High,High,High,High,High,High,High,Yes,4,Online business,4,0,1,Kamukunji,-1.2852,36.8456
457,High,High,High,High,High,High,High,No,3,Physical business,3,0,1,Kamukunji,-1.2852,36.8456
458,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,1,Online business,2,0,1,Kamukunji,-1.2852,36.8456
459,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,5,0,1,Kamukunji,-1.2852,36.8456
460,High,High,High,High,High,High,High,No,10,Physical business,10,0,1,Kamukunji,-1.2852,36.8456
